match_no,innings,event_name,event_stage,batting_team,bowling_team,over,ball_number,bowler,batsman,non_striker,super_over,batsman_runs,extras_runs,total_runs,wides,noballs,legbyes,byes,penalty,player_out,dismissal_kind,fielders
1,1,ICC World T20,First Round,Nepal,Hong Kong,0,1,Tanwir Afzal,SP Khakurel,Sagar Pun,0,3,0,3,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,0,2,Tanwir Afzal,Sagar Pun,SP Khakurel,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,0,3,Tanwir Afzal,Sagar Pun,SP Khakurel,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,0,4,Tanwir Afzal,SP Khakurel,Sagar Pun,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,0,5,Tanwir Afzal,SP Khakurel,Sagar Pun,0,4,0,4,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,0,6,Tanwir Afzal,SP Khakurel,Sagar Pun,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,1,1,Haseeb Amjad,Sagar Pun,SP Khakurel,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,1,2,Haseeb Amjad,Sagar Pun,SP Khakurel,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,1,3,Haseeb Amjad,SP Khakurel,Sagar Pun,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,1,4,Haseeb Amjad,SP Khakurel,Sagar Pun,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,1,5,Haseeb Amjad,SP Khakurel,Sagar Pun,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,1,6,Haseeb Amjad,SP Khakurel,Sagar Pun,0,4,0,4,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,2,1,Tanwir Afzal,Sagar Pun,SP Khakurel,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,2,2,Tanwir Afzal,Sagar Pun,SP Khakurel,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,2,3,Tanwir Afzal,SP Khakurel,Sagar Pun,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,2,4,Tanwir Afzal,Sagar Pun,SP Khakurel,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,2,5,Tanwir Afzal,SP Khakurel,Sagar Pun,0,4,0,4,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,2,6,Tanwir Afzal,SP Khakurel,Sagar Pun,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,3,1,Najeeb Amar,Sagar Pun,SP Khakurel,0,4,0,4,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,3,2,Najeeb Amar,Sagar Pun,SP Khakurel,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,3,3,Najeeb Amar,SP Khakurel,Sagar Pun,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,3,4,Najeeb Amar,Sagar Pun,SP Khakurel,0,4,0,4,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,3,5,Najeeb Amar,Sagar Pun,SP Khakurel,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,3,6,Najeeb Amar,Sagar Pun,SP Khakurel,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,4,1,Haseeb Amjad,SP Khakurel,Sagar Pun,0,4,0,4,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,4,2,Haseeb Amjad,SP Khakurel,Sagar Pun,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,4,3,Haseeb Amjad,SP Khakurel,Sagar Pun,0,0,1,1,1,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,4,3,Haseeb Amjad,SP Khakurel,Sagar Pun,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,4,4,Haseeb Amjad,Sagar Pun,SP Khakurel,0,0,0,0,0,0,0,0,0,Sagar Pun,caught,Waqas Barkat
1,1,ICC World T20,First Round,Nepal,Hong Kong,4,5,Haseeb Amjad,G Malla,SP Khakurel,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,4,6,Haseeb Amjad,G Malla,SP Khakurel,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,5,1,Nadeem Ahmed,SP Khakurel,G Malla,0,0,0,0,0,0,0,0,0,SP Khakurel,caught,Aizaz Khan
1,1,ICC World T20,First Round,Nepal,Hong Kong,5,2,Nadeem Ahmed,P Khadka,G Malla,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,5,3,Nadeem Ahmed,P Khadka,G Malla,0,0,1,1,1,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,5,3,Nadeem Ahmed,P Khadka,G Malla,0,4,0,4,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,5,4,Nadeem Ahmed,P Khadka,G Malla,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,5,5,Nadeem Ahmed,P Khadka,G Malla,0,3,0,3,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,5,6,Nadeem Ahmed,G Malla,P Khadka,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,6,1,Irfan Ahmed,P Khadka,G Malla,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,6,2,Irfan Ahmed,G Malla,P Khadka,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,6,3,Irfan Ahmed,G Malla,P Khadka,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,6,4,Irfan Ahmed,G Malla,P Khadka,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,6,5,Irfan Ahmed,P Khadka,G Malla,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,6,6,Irfan Ahmed,P Khadka,G Malla,0,0,1,1,1,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,6,6,Irfan Ahmed,P Khadka,G Malla,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,7,1,Aizaz Khan,P Khadka,G Malla,0,0,1,1,1,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,7,1,Aizaz Khan,P Khadka,G Malla,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,7,2,Aizaz Khan,G Malla,P Khadka,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,7,3,Aizaz Khan,P Khadka,G Malla,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,7,4,Aizaz Khan,P Khadka,G Malla,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,7,5,Aizaz Khan,P Khadka,G Malla,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,7,6,Aizaz Khan,P Khadka,G Malla,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,8,1,Irfan Ahmed,G Malla,P Khadka,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,8,2,Irfan Ahmed,G Malla,P Khadka,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,8,3,Irfan Ahmed,P Khadka,G Malla,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,8,4,Irfan Ahmed,P Khadka,G Malla,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,8,5,Irfan Ahmed,P Khadka,G Malla,0,0,1,1,1,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,8,5,Irfan Ahmed,P Khadka,G Malla,0,0,1,1,1,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,8,5,Irfan Ahmed,P Khadka,G Malla,0,2,0,2,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,8,6,Irfan Ahmed,P Khadka,G Malla,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,9,1,Aizaz Khan,G Malla,P Khadka,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,9,2,Aizaz Khan,G Malla,P Khadka,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,9,3,Aizaz Khan,P Khadka,G Malla,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,9,4,Aizaz Khan,G Malla,P Khadka,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,9,5,Aizaz Khan,P Khadka,G Malla,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,9,6,Aizaz Khan,G Malla,P Khadka,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,10,1,Najeeb Amar,P Khadka,G Malla,0,2,0,2,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,10,2,Najeeb Amar,P Khadka,G Malla,0,0,1,1,0,0,1,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,10,3,Najeeb Amar,G Malla,P Khadka,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,10,4,Najeeb Amar,P Khadka,G Malla,0,4,0,4,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,10,5,Najeeb Amar,P Khadka,G Malla,0,2,0,2,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,10,6,Najeeb Amar,P Khadka,G Malla,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,11,1,Nadeem Ahmed,G Malla,P Khadka,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,11,2,Nadeem Ahmed,G Malla,P Khadka,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,11,3,Nadeem Ahmed,P Khadka,G Malla,0,2,0,2,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,11,4,Nadeem Ahmed,P Khadka,G Malla,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,11,5,Nadeem Ahmed,G Malla,P Khadka,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,11,6,Nadeem Ahmed,P Khadka,G Malla,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,12,1,Aizaz Khan,P Khadka,G Malla,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,12,2,Aizaz Khan,G Malla,P Khadka,0,4,0,4,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,12,3,Aizaz Khan,G Malla,P Khadka,0,0,1,1,1,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,12,3,Aizaz Khan,G Malla,P Khadka,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,12,4,Aizaz Khan,G Malla,P Khadka,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,12,5,Aizaz Khan,G Malla,P Khadka,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,12,6,Aizaz Khan,P Khadka,G Malla,0,4,0,4,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,13,1,Nadeem Ahmed,G Malla,P Khadka,0,0,0,0,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,13,2,Nadeem Ahmed,G Malla,P Khadka,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,13,3,Nadeem Ahmed,P Khadka,G Malla,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,13,4,Nadeem Ahmed,G Malla,P Khadka,0,1,0,1,0,0,0,0,0,,,
1,1,ICC World T20,First Round,Nepal,Hong Kong,13,5,Nadeem Ahmed,P Khadka,G Malla,0,4,0,4,0,0,0,0,0,,,
